pid,order,step,technique,task,size,trial,pAnswer,correctAnswer,startTime,endTime,completionTime,clicksLink,clicksNode,penDownTime
p2,B,S2,baseline,reach,n80,t3,28,28,-2135091473,-2135063166,28307,0,8,0
p2,B,S3,baseline,degree,n20,t0,5,5,-2134970898,-2134954598,16300,0,11,0
p2,B,S1,active,degree,n40,t2,7,7,-2136351914,-2136287258,64656,1,13,2432
p2,B,S3,baseline,degree,n80,t3,14,14,-2134706203,-2134678086,28117,2,31,0
p2,B,S1,active,degree,n80,t2,16,16,-2135808475,-2135678482,129993,1,38,7583
p2,B,S2,baseline,reach,n40,t0,14,16,-2135357582,-2135331173,26409,0,1,0
p2,B,S0,active,reach,n20,t3,9,9,-2137151835,-2137115227,36608,0,14,2363
p2,B,S0,active,reach,n80,t2,30,30,-2136893670,-2136815793,77877,0,6,9969
p2,B,S1,active,degree,n20,t3,5,5,-2136492510,-2136444946,47564,0,14,2580
p2,B,S3,baseline,degree,n40,t0,7,9,-2134864385,-2134845093,19292,0,1,0
p2,B,S3,baseline,degree,n80,t0,15,19,-2134787256,-2134741610,45646,0,28,0
p2,B,S2,baseline,reach,n20,t3,9,9,-2135413871,-2135390850,23021,0,3,0
p2,B,S0,active,reach,n40,t3,14,14,-2137045777,-2137001952,43825,1,14,3976
p2,B,S1,active,degree,n40,t3,7,8,-2136216203,-2136152543,63660,2,27,2115
p2,B,S2,baseline,reach,n80,t0,23,25,-2135257617,-2135190036,67581,0,20,0
p2,B,S3,baseline,degree,n20,t3,5,5,-2134999460,-2134986954,12506,0,1,0
p2,B,S2,baseline,reach,n40,t3,13,14,-2135304181,-2135282099,22082,1,6,0
p2,B,S1,active,degree,n80,t3,13,14,-2135917672,-2135813462,104210,0,57,6293
p2,B,S0,active,reach,n20,t2,7,7,-2137112699,-2137099632,13067,0,4,1827
p2,B,S0,active,reach,n80,t3,20,28,-2136759945,-2136712451,47494,0,4,10089
p2,B,S1,active,degree,n20,t2,3,3,-2136443495,-2136408995,34500,1,6,1624
p2,B,S3,baseline,degree,n40,t3,4,8,-2134932567,-2134911957,20610,0,7,0
p2,B,S0,active,reach,n40,t0,15,16,-2137000365,-2136966011,34354,0,7,4509
p2,B,S2,baseline,reach,n20,t2,6,7,-2135449046,-2135432282,16764,0,5,0
p2,B,S2,baseline,reach,n80,t1,18,21,-2135117302,-2135093217,24085,0,5,0
p2,B,S3,baseline,degree,n20,t2,3,3,-2134985677,-2134973212,12465,0,1,0
p2,B,S1,active,degree,n40,t0,9,9,-2136150180,-2136060575,89605,0,32,5080
p2,B,S3,baseline,degree,n80,t1,13,13,-2134739810,-2134708168,31642,2,36,0
p2,B,S1,active,degree,n80,t0,16,19,-2136051798,-2135920101,131697,0,55,7956
p2,B,S2,baseline,reach,n40,t2,14,15,-2135329556,-2135305846,23710,0,6,0
p2,B,S0,active,reach,n20,t1,11,11,-2137072943,-2137052979,19964,0,7,3088
p2,B,S0,active,reach,n80,t0,24,25,-2136814109,-2136772717,41392,0,4,8102
p2,B,S1,active,degree,n20,t1,4,4,-2136533445,-2136494593,38852,0,10,1939
p2,B,S3,baseline,degree,n40,t2,7,7,-2134885352,-2134865682,19670,0,3,0
p3,C,S2,active,degree,n40,t0,9,9,-2127544301,-2127407165,137136,2,35,17311
p3,C,S3,active,reach,n20,t2,7,7,-2126059690,-2126037908,21782,0,6,1918
p3,C,S0,baseline,degree,n20,t3,5,5,-2129610346,-2129575106,35240,0,14,0
p3,C,S3,active,reach,n80,t3,28,28,-2125823412,-2125764877,58535,0,7,11549
p3,C,S1,baseline,reach,n80,t2,32,30,-2128268530,-2128182671,85859,0,7,0
p3,C,S0,baseline,degree,n40,t3,6,8,-2129420839,-2129370050,50789,0,16,0
p3,C,S3,active,reach,n40,t2,15,15,-2125945905,-2125905527,40378,1,6,4535
p3,C,S1,baseline,reach,n20,t1,11,11,-2128627201,-2128596871,30330,0,0,0
p3,C,S1,baseline,reach,n40,t1,14,13,-2128524804,-2128490380,34424,0,1,0
p3,C,S2,active,degree,n20,t3,4,5,-2127787347,-2127728474,58873,0,15,8201
p3,C,S0,baseline,degree,n80,t3,14,14,-2129082551,-2128971117,111434,1,34,0
p3,C,S2,active,degree,n80,t0,19,19,-2126397345,-2126185659,211686,2,47,25381
p3,C,S2,active,degree,n40,t1,9,9,-2127165399,-2127061830,103569,1,23,13825
p3,C,S0,baseline,degree,n20,t0,5,5,-2129651151,-2129613457,37694,0,14,0
p3,C,S3,active,reach,n20,t3,9,9,-2126114294,-2126061258,53036,8,35,2780
p3,C,S1,baseline,reach,n80,t1,19,21,-2128179737,-2128128993,50744,0,1,0
p3,C,S3,active,reach,n80,t2,28,30,-2125713929,-2125644663,69266,0,12,13066
p3,C,S1,baseline,reach,n20,t2,6,7,-2128687901,-2128638726,49175,0,0,0
p3,C,S2,active,degree,n80,t1,13,13,-2126816373,-2126598769,217604,2,43,23472
p3,C,S3,active,reach,n40,t3,14,14,-2125904151,-2125863196,40955,0,8,3651
p3,C,S0,baseline,degree,n40,t0,7,9,-2129480418,-2129423249,57169,1,13,0
p3,C,S0,baseline,degree,n80,t0,10,19,-2128967031,-2128895914,71117,0,20,0
p3,C,S1,baseline,reach,n40,t2,17,15,-2128485266,-2128441773,43493,0,1,0
p3,C,S2,active,degree,n20,t2,3,3,-2127856567,-2127789518,67049,1,16,9473
p3,C,S0,baseline,degree,n20,t1,4,4,-2129693028,-2129656166,36862,1,13,0
p3,C,S2,active,degree,n40,t2,7,7,-2127272946,-2127167626,105320,0,18,14157
p3,C,S1,baseline,reach,n80,t0,21,25,-2128126719,-2128056812,69907,0,1,0
p3,C,S3,active,reach,n80,t1,21,21,-2125641382,-2125589657,51725,1,6,8704
p3,C,S3,active,reach,n20,t0,8,8,-2126036533,-2126015062,21471,0,6,1988
p3,C,S2,active,degree,n80,t2,16,16,-2127055109,-2126818492,236617,2,50,26838
p3,C,S0,baseline,degree,n40,t1,8,9,-2129364200,-2129314845,49355,0,13,0
p3,C,S1,baseline,reach,n20,t3,8,9,-2128764189,-2128728618,35571,0,0,0
p3,C,S0,baseline,degree,n80,t1,10,13,-2129217692,-2129085445,132247,2,33,0
p3,C,S1,baseline,reach,n40,t3,14,14,-2128439388,-2128379376,60012,1,2,0
p3,C,S3,active,reach,n40,t0,14,16,-2125984013,-2125949080,34933,0,9,3867
p3,C,S2,active,degree,n20,t1,4,4,-2127711528,-2127639694,71834,1,20,8667
p3,C,S3,active,reach,n20,t1,11,11,-2126013601,-2125987985,25616,1,7,2756
p3,C,S2,active,degree,n40,t3,8,8,-2127404559,-2127281767,122792,0,27,14061
